,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Total Tax Payable,3462000000.0,2796000000.0,3608000000.0,3521000000.0,
Accounts Payable,3984000000.0,3524000000.0,3861000000.0,3844000000.0,
Total Assets,101801000000.0,90468000000.0,88151000000.0,92317000000.0,
Total Non Current Assets,61765000000.0,57022000000.0,54335000000.0,56690000000.0,
Other Non Current Assets,822000000.0,873000000.0,948000000.0,834000000.0,
Defined Pension Benefit,2463000000.0,1207000000.0,1150000000.0,1732000000.0,
Non Current Deferred Taxes Assets,8569000000.0,6882000000.0,6427000000.0,5583000000.0,
Investmentin Financial Assets,600000000.0,547000000.0,671000000.0,738000000.0,
Available For Sale Securities,251000000.0,249000000.0,356000000.0,328000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,349000000.0,298000000.0,315000000.0,410000000.0,
Long Term Equity Investment,258000000.0,242000000.0,300000000.0,331000000.0,
Investmentsin Associatesat Cost,258000000.0,242000000.0,300000000.0,331000000.0,
Goodwill And Other Intangible Assets,25179000000.0,24218000000.0,20505000000.0,22926000000.0,
Other Intangible Assets,17303000000.0,14828000000.0,9685000000.0,12117000000.0,
Goodwill,7876000000.0,9390000000.0,10820000000.0,10809000000.0,
Net PPE,23740000000.0,22939000000.0,24208000000.0,24412000000.0,
Accumulated Depreciation,-25642000000.0,-23259000000.0,-25200000000.0,-23082000000.0,
Gross PPE,49382000000.0,46198000000.0,49408000000.0,47494000000.0,
Construction In Progress,3818000000.0,4882000000.0,3891000000.0,4756000000.0,
Other Properties,,,,1249000000.0,1112000000.0
Machinery Furniture Equipment,21524000000.0,20227000000.0,22819000000.0,22158000000.0,
Buildings And Improvements,22783000000.0,19886000000.0,21349000000.0,19215000000.0,
Land And Improvements,1257000000.0,1203000000.0,1349000000.0,1365000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,40036000000.0,33446000000.0,33816000000.0,35627000000.0,
Other Current Assets,225000000.0,223000000.0,209000000.0,172000000.0,
Hedging Assets Current,178000000.0,148000000.0,167000000.0,189000000.0,
Assets Held For Sale Current,0.0,692000000.0,0.0,0.0,
Restricted Cash,,,,,0.0
Inventory,7606000000.0,7749000000.0,8605000000.0,7715000000.0,
Inventories Adjustments Allowances,-694000000.0,-753000000.0,-873000000.0,-872000000.0,
Finished Goods,1566000000.0,1182000000.0,1138000000.0,1202000000.0,
Work In Process,5121000000.0,5622000000.0,6391000000.0,5838000000.0,
Raw Materials,1613000000.0,1698000000.0,1949000000.0,1547000000.0,
Other Receivables,1509000000.0,1426000000.0,1767000000.0,2140000000.0,
Taxes Receivable,1196000000.0,1062000000.0,1178000000.0,953000000.0,
Accounts Receivable,12005000000.0,11636000000.0,12123000000.0,11427000000.0,
Allowance For Doubtful Accounts Receivable,-453000000.0,-440000000.0,-490000000.0,-538000000.0,
Gross Accounts Receivable,12458000000.0,12076000000.0,12613000000.0,11965000000.0,
Cash Cash Equivalents And Short Term Investments,17317000000.0,10510000000.0,9767000000.0,13031000000.0,
Other Short Term Investments,10342000000.0,5134000000.0,4776000000.0,6181000000.0,
Cash And Cash Equivalents,6975000000.0,5376000000.0,4991000000.0,6850000000.0,
Cash Equivalents,2843000000.0,1274000000.0,2150000000.0,1822000000.0,
Cash Financial,4132000000.0,4102000000.0,2841000000.0,5028000000.0,
