,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Payables And Accrued Expenses,6470300000.0,4833600000.0,4756400000.0,3853700000.0,
Current Accrued Expenses,2686600000.0,2177400000.0,1875900000.0,1435500000.0,
Payables,3783700000.0,2656200000.0,2880500000.0,2418200000.0,
Total Tax Payable,283300000.0,308900000.0,315300000.0,301900000.0,
Accounts Payable,3500400000.0,2347300000.0,2565200000.0,2116300000.0,
Total Assets,48589600000.0,39957500000.0,36300400000.0,30231000000.0,
Total Non Current Assets,17852200000.0,15563600000.0,13235500000.0,12040800000.0,
Other Non Current Assets,28300000.0,13600000.0,15900000.0,15000000.0,
Defined Pension Benefit,113100000.0,95200000.0,71100000.0,81400000.0,
Non Current Prepaid Assets,649400000.0,531700000.0,652800000.0,735300000.0,
Non Current Deferred Assets,1940700000.0,1872300000.0,1672800000.0,1098700000.0,
Non Current Deferred Taxes Assets,1940700000.0,1872300000.0,1672800000.0,1098700000.0,
Non Current Note Receivables,1456600000.0,929200000.0,364400000.0,124400000.0,
Non Current Accounts Receivable,317200000.0,60600000.0,,391000000.0,423100000.0
Financial Assets,0.0,11300000.0,0.0,47300000.0,
Investments And Advances,903000000.0,919600000.0,923600000.0,892500000.0,
Long Term Equity Investment,903000000.0,919600000.0,923600000.0,892500000.0,
Goodwill And Other Intangible Assets,5209900000.0,5330300000.0,5398000000.0,5507700000.0,
Other Intangible Assets,621300000.0,741700000.0,842400000.0,952100000.0,
Goodwill,4588600000.0,4588600000.0,4555600000.0,4555600000.0,
Net PPE,7234000000.0,5799800000.0,4136900000.0,3147500000.0,
Accumulated Depreciation,-4213900000.0,-3586600000.0,-3045200000.0,-2632400000.0,
Gross PPE,11447900000.0,9386400000.0,7182100000.0,5779900000.0,
Leases,970800000.0,779100000.0,587700000.0,525800000.0,
Other Properties,3300000.0,600000.0,700000.0,900000.0,
Machinery Furniture Equipment,5025400000.0,4283300000.0,3279700000.0,2449500000.0,
Land And Improvements,5448400000.0,4323400000.0,3314000000.0,2803700000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,30737400000.0,24393900000.0,23064900000.0,18190200000.0,
Other Current Assets,193400000.0,92500000.0,266400000.0,148800000.0,
Hedging Assets Current,96500000.0,19800000.0,17300000.0,52200000.0,
Prepaid Assets,1371300000.0,1164000000.0,1158500000.0,662800000.0,
Inventory,10891500000.0,8850700000.0,7199700000.0,5179200000.0,
Inventories Adjustments Allowances,-911500000.0,-693200000.0,-466900000.0,-418000000.0,
Finished Goods,2019500000.0,2098500000.0,2303800000.0,1179000000.0,
Work In Process,4872300000.0,3388100000.0,2163900000.0,1749900000.0,
Raw Materials,4911200000.0,4057300000.0,3198900000.0,2668300000.0,
Receivables,5443400000.0,7256800000.0,7047000000.0,4556900000.0,
Other Receivables,403200000.0,1619300000.0,1488600000.0,1350200000.0,
Taxes Receivable,562700000.0,1303400000.0,234600000.0,178700000.0,
Accounts Receivable,4477500000.0,4334100000.0,5323800000.0,3028000000.0,
Allowance For Doubtful Accounts Receivable,0.0,0.0,-4100000.0,-4500000.0,
Gross Accounts Receivable,4477500000.0,4334100000.0,5327900000.0,3032500000.0,
Cash Cash Equivalents And Short Term Investments,12741300000.0,7010100000.0,7376000000.0,7590300000.0,
Other Short Term Investments,5400000.0,5400000.0,107700000.0,638500000.0,
Cash And Cash Equivalents,12735900000.0,7004700000.0,7268300000.0,6951800000.0,
Cash Equivalents,11229600000.0,4516100000.0,5744800000.0,5060000000.0,
Cash Financial,1506300000.0,2488600000.0,1523500000.0,1891800000.0,
