,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Long Term Debt And Capital Lease Obligation,987184200000.0,946964600000.0,868860500000.0,634143900000.0,
Long Term Capital Lease Obligation,28755300000.0,28681800000.0,29764100000.0,20764200000.0,
Long Term Debt,958428900000.0,918282800000.0,839096400000.0,613379700000.0,
Current Liabilities,1308655900000.0,942805100000.0,986563600000.0,758352800000.0,
Other Current Liabilities,466500000.0,27455600000.0,117000000.0,691500000.0,
Current Debt And Capital Lease Obligation,59857900000.0,9293300000.0,19313900000.0,119488000000.0,
Current Debt,59857900000.0,9293300000.0,19313900000.0,119488000000.0,
Other Current Borrowings,59857900000.0,9293300000.0,19313900000.0,119488000000.0,
Pensionand Other Post Retirement Benefit Plans Current,70871200000.0,50716900000.0,61748600000.0,36524700000.0,
Payables And Accrued Expenses,1177460300000.0,855339300000.0,905384100000.0,601648600000.0,
Current Accrued Expenses,451158800000.0,296667900000.0,293171000000.0,162267800000.0,
Payables,726301500000.0,558671400000.0,612213100000.0,439380800000.0,
Other Payable,47451500000.0,33200600000.0,36435500000.0,23802100000.0,
Dueto Related Parties Current,1426000000.0,1566300000.0,1642600000.0,1437200000.0,
Dividends Payable,220418800000.0,168558500000.0,142617100000.0,142617100000.0,
Total Tax Payable,191569400000.0,128134600000.0,163138600000.0,78496600000.0,
Income Tax Payable,191569400000.0,128134600000.0,163138600000.0,78496600000.0,
Accounts Payable,265435800000.0,227211400000.0,268379300000.0,193027800000.0,
Total Assets,6691764700000.0,5532196600000.0,4964459100000.0,3725302200000.0,
Total Non Current Assets,3603412600000.0,3338163700000.0,2911562400000.0,2118229300000.0,
Other Non Current Assets,81715400000.0,10009400000.0,7551100000.0,2592200000.0,
Non Current Prepaid Assets,5495900000.0,7044500000.0,4467100000.0,2624900000.0,
Non Current Deferred Assets,65943300000.0,64175800000.0,69185900000.0,49153900000.0,
Non Current Deferred Taxes Assets,65943300000.0,64175800000.0,69185900000.0,49153900000.0,
Investments And Advances,148867000000.0,129267600000.0,68608100000.0,29183500000.0,
Investmentin Financial Assets,111619200000.0,99825600000.0,41286400000.0,7421300000.0,
Held To Maturity Securities,88596500000.0,79199400000.0,35127200000.0,1533400000.0,
Available For Sale Securities,96419400000.0,86408100000.0,41286400000.0,7421300000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,15199800000.0,13417500000.0,0.0,,
Long Term Equity Investment,37247800000.0,29442000000.0,27321700000.0,21762200000.0,
Investmentsin Associatesat Cost,37247800000.0,29442000000.0,27321700000.0,21762200000.0,
Goodwill And Other Intangible Assets,26282500000.0,22766700000.0,25999200000.0,26821700000.0,
Other Intangible Assets,20211600000.0,16970300000.0,20207400000.0,21442500000.0,
Goodwill,6070900000.0,5796400000.0,5791800000.0,5379200000.0,
Net PPE,3275108500000.0,3104899700000.0,2735751000000.0,2007853100000.0,
Accumulated Depreciation,-4775331300000.0,-4154121200000.0,-3668706200000.0,-3262031100000.0,
Gross PPE,8050439800000.0,7259020900000.0,6404457200000.0,5269884200000.0,
Construction In Progress,1080284200000.0,908289800000.0,1336842600000.0,593155700000.0,
Other Properties,201700000.0,50700000.0,21300000.0,4700000.0,
Machinery Furniture Equipment,5957681000000.0,5484852300000.0,4381002100000.0,4060941100000.0,
Buildings And Improvements,962237700000.0,820769000000.0,640403600000.0,579515900000.0,
Land And Improvements,50035200000.0,45059100000.0,46187600000.0,36266800000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,3088352100000.0,2194032900000.0,2052896700000.0,1607072900000.0,
Other Current Assets,43237400000.0,26222400000.0,12888800000.0,10521500000.0,
Hedging Assets Current,11000000.0,0.0,949800000.0,172500000.0,
Inventory,287868800000.0,250997100000.0,221149100000.0,193102300000.0,
Finished Goods,35177000000.0,34511000000.0,54818400000.0,32562800000.0,
Work In Process,181198800000.0,156498500000.0,125661900000.0,137700400000.0,
Raw Materials,71493000000.0,59987600000.0,40668800000.0,22839100000.0,
Receivables,272087900000.0,202010200000.0,231408900000.0,198362900000.0,
Duefrom Related Parties Current,1404700000.0,696300000.0,1653000000.0,776800000.0,
Notes Receivable,270683200000.0,201313900000.0,229755900000.0,197586100000.0,
Accounts Receivable,270683235000.0,201313914000.0,,197586100000.0,145480300000.0
Allowance For Doubtful Accounts Receivable,-453009000.0,-531554000.0,,-347000000.0,-246600000.0
Gross Accounts Receivable,271136244000.0,201845468000.0,,197933100000.0,145726900000.0
Cash Cash Equivalents And Short Term Investments,2485147000000.0,1714803200000.0,1586500100000.0,1204913700000.0,
Other Short Term Investments,357520000000.0,249375400000.0,243686000000.0,139923500000.0,
Cash And Cash Equivalents,2127627000000.0,1465427800000.0,1342814100000.0,1064990200000.0,
Cash Equivalents,6952200000.0,12326200000.0,13522700000.0,6182100000.0,
Cash Financial,2120674800000.0,1453101600000.0,1329291400000.0,1058808100000.0,
