,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Goodwill,142126000000.0,126220000000.0,116731000000.0,112173000000.0,
Net PPE,130349000000.0,87431000000.0,85731000000.0,88305000000.0,
Accumulated Depreciation,-104583000000.0,-87407000000.0,-77753000000.0,-64318000000.0,
Gross PPE,234932000000.0,174838000000.0,163484000000.0,152623000000.0,
Construction In Progress,32485000000.0,13735000000.0,9229000000.0,5923000000.0,
Other Properties,17679000000.0,20464000000.0,22524000000.0,20468000000.0,
Machinery Furniture Equipment,152055000000.0,114116000000.0,106508000000.0,104664000000.0,
Buildings And Improvements,32713000000.0,26523000000.0,25223000000.0,21568000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,496180000000.0,518446000000.0,565989000000.0,484812000000.0,
Other Current Assets,31781000000.0,25205000000.0,173099000000.0,128457000000.0,
Hedging Assets Current,,,1278000000.0,1749000000.0,1133000000.0
Restricted Cash,3334000000.0,3818000000.0,2783000000.0,2476000000.0,
Prepaid Assets,31265000000.0,27824000000.0,24393000000.0,18714000000.0,
Inventory,440000000.0,456000000.0,2333000000.0,1063000000.0,
Other Receivables,34039000000.0,32071000000.0,24376000000.0,18229000000.0,
Taxes Receivable,2228000000.0,1596000000.0,1524000000.0,1151000000.0,
Accounts Receivable,48203000000.0,46606000000.0,45467000000.0,49331000000.0,
Allowance For Doubtful Accounts Receivable,-6684000000.0,-7749000000.0,-6536000000.0,-4129000000.0,
Gross Accounts Receivable,54887000000.0,54355000000.0,52003000000.0,53460000000.0,
Cash Cash Equivalents And Short Term Investments,343159000000.0,379155000000.0,290756000000.0,262352000000.0,
Other Short Term Investments,210640000000.0,206835000000.0,134017000000.0,94386000000.0,
Cash And Cash Equivalents,132519000000.0,172320000000.0,156739000000.0,167966000000.0,
Cash Equivalents,43336000000.0,45079000000.0,51972000000.0,83156000000.0,
Cash Financial,89183000000.0,127241000000.0,104767000000.0,84810000000.0,
